sentence,aspect,polarity
dines h nursing home via swan auto para m Madurai provides for hour security and that is really good because I had to stay in the hospital for a night and since I am living alone in the city I had no one who could stay with me and for better recovery I needed to sleep but they assured me that they have good security which consists of a team of females as well and I do not need to worry,"['security', 'madurai', 'nursing', 'hospital', 'assured']","['Positive', 'Positive', 'Neutral', 'Neutral', 'Positive']"
it is great to get your treatment done for him,"['treatment', 'great']","['Positive', 'Positive']"
this hospital has an in house the rid party assistance desk that assists you with the process of your media claim really well,"['hospital', 'media', 'party', 'assistance', 'desk']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
sh if a hospital Rajendra Nagar Gora kh pair has highly advanced operation theatres so you will not feel any pain after the surgery and it will not leave any major scars on your body,"['surgery', 'gora', 'operation', 'scars', 'hospital']","['Positive', 'Positive', 'Positive', 'Positive', 'Neutral']"
New Jaya hospitals can rag hat Gora kh pair has staff that are simply too good and they take care of you like no other,"['hospitals', 'gora', 'jaya', 'staff', 'care']","['Neutral', 'Positive', 'Positive', 'Positive', 'Positive']"
purva n calls the metro city hospital hone Singh chow k Gora kh pair has cutting edge equipment and a staff that highly trained and professional and know what they are doing,"['gora', 'hospital', 'staff', 'purva', 'equipment']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
"the doctors at Medicare health center , char gawa Gora oh poor are very professional and they have expertise in their field so there is no need to worry at all","['medicare', 'doctors', 'gora', 'health', 'poor']","['Neutral', 'Positive', 'Neutral', 'Positive', 'Neutral']"
I am glad that I admitted my father here,"['admitted', 'father', 'glad']","['Positive', 'Neutral', 'Positive']"
Shri Vinayak hospital shah pours Gora kh bar provides super specialty services so no matter what you are suffering since they have got you covered,"['hospital', 'gora', 'specialty', 'services', 'vinayak']","['Neutral', 'Neutral', 'Positive', 'Positive', 'Positive']"
"shiva m hospital rapt in the agar Gora kh pair has really professional doctors and immediately after the operation , they told us what we have to do to take care of our daughter and my daughter said that she did not feel any pain after the surgery","['surgery', 'gora', 'pain', 'shiva', 'hospital']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
we were really happy with the treatment,"['treatment', 'happy', 'really']","['Positive', 'Positive', 'Positive']"
this hospital has fully functional operation theaters ICUs and emergency rooms and good infrastructure so it is a good idea to work for them,"['hospital', 'rooms', 'emergency', 'operation', 'icus']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
arc fertility hospitals Siva Ganga I Madurai is a pioneer of innovation and they use the newest and innovative technologies to give their patients the best results,"['fertility', 'madurai', 'hospitals', 'innovation', 'siva']","['Neutral', 'Positive', 'Neutral', 'Positive', 'Positive']"
"this hospital has really professional doctors and immediately after the operation , they told us what we have to do to take care of our daughter and my daughter said that she did not feel any pain after the surgery","['surgery', 'hospital', 'pain', 'operation', 'daughter']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
a c hospital Madurai has world class facilities and the payment process is also very smooth here because they have partnered with many insurance companies to ensure a smooth process for you,"['madurai', 'hospital', 'insurance', 'facilities', 'payment']","['Positive', 'Neutral', 'Neutral', 'Positive', 'Positive']"
this hospital has state of the art technology and amenities which ensures that your surgery will be done with accuracy,"['hospital', 'surgery', 'amenities', 'technology', 'accuracy']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the doctors at an aroma multi specialty hospital than being that the Madurai examine your case from all angles and do not just rush you into surgery they will even recommend alternative medicine if required,"['madurai', 'surgery', 'hospital', 'doctors', 'specialty']","['Neutral', 'Positive', 'Positive', 'Positive', 'Positive']"
this hops it all did not charge us expensive consultation charges and the doctors were really polite and spoke to us for an hour and gave us an entire plan on how to get better,"['consultation', 'doctors', 'charges', 'did', 'expensive']","['Positive', 'Positive', 'Negative', 'Positive', 'Negative']"
"this hospital has a lot of amenities like laboratory , pharmacy a dialysis center and Cath lab and much more which sees to it that the needs of the patients are met no matter what surgery they have come for","['hospital', 'patients', 'dialysis', 'amenities', 'surgery']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
I was very happy with the treatment that I got at this place,"['treatment', 'happy', 'place', 'got']","['Positive', 'Positive', 'Positive', 'Positive']"
Karp a game hospital Nari me do Madurai has experienced staff and state of the art technology and modern amenities,"['madurai', 'hospital', 'nari', 'karp', 'amenities']","['Positive', 'Positive', 'Neutral', 'Positive', 'Positive']"
it is great to get your treatment done for him,"['treatment', 'great']","['Positive', 'Positive']"
Kant him in hi hospitals Madurai main Madurai has a huge staff of about around consultants and specialized nurses so you will definitely get all the care that you need,"['madurai', 'nurses', 'consultants', 'hospitals', 'kant']","['Neutral', 'Positive', 'Positive', 'Neutral', 'Positive']"
"ha be eb a specialty hospital van dies or Madurai has a pharmacy in the hospital , which charges much less for medicines compared to if you buy medicines from outside","['pharmacy', 'medicines', 'madurai', 'hospital', 'specialty']","['Positive', 'Neutral', 'Neutral', 'Neutral', 'Neutral']"
this hospital has the best departments and they keep res e arcing on the best ways to do the treatment so it is a great place to work at,"['hospital', 'treatment', 'departments', 'place', 'work']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
"ashwin specialty hospital ran an Nagar , Madurai has highly qualified doctors and the operating theatres are really great and fully equipped","['madurai', 'hospital', 'nagar', 'specialty', 'doctors']","['Positive', 'Positive', 'Neutral', 'Positive', 'Positive']"
this hops its oil is known for its emergency medical services and they also have a cardiac and trauma ambulance,"['ambulance', 'emergency', 'medical', 'cardiac', 'oil']","['Positive', 'Positive', 'Positive', 'Neutral', 'Positive']"
Karp a game hospital Nari me do Madurai hires really talented doctors with over years of experience so you know that you are in safe hands,"['madurai', 'hospital', 'doctors', 'nari', 'karp']","['Neutral', 'Neutral', 'Positive', 'Neutral', 'Neutral']"
b Askar hospital goes math I pure m Madurai has some really experienced and well qualified doctors so you can trust them with your life because their success rate for surgery is really high,"['hospital', 'surgery', 'madurai', 'doctors', 'math']","['Neutral', 'Positive', 'Positive', 'Positive', 'Neutral']"
Sake shy hospital Azad Nagar Gora kh pair has an in house the rid party assistance desk that assists you with the process of your media claim really well,"['media', 'hospital', 'nagar', 'party', 'gora']","['Positive', 'Positive', 'Neutral', 'Positive', 'Positive']"
it is great to get your treatment done for him,"['treatment', 'great']","['Positive', 'Positive']"
"this hospital provides for hour security and that is really good because I had to stay in the hospital for a night and since I am living alone in the city I had no one who could stay with me and for better recovery I needed to sleep , but they assured me that they have good security which consists of a team of females as well and I do not need to worry","['hospital', 'security', 'assured', 'hour', 'night']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
Hindu mission hospital Simm eke l Madurai is one of the best hops it als because the doctors who work here have an experience of at least a decade,"['madurai', 'hospital', 'doctors', 'hindu', 'simm']","['Positive', 'Neutral', 'Positive', 'Neutral', 'Neutral']"
this hops it all has a huge staff of around consultants and specialized nurses so you will definitely get all the care that you need,"['nurses', 'consultants', 'care', 'staff', 'specialized']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
a c hospital Madurai is one I of the most well known hospitals and they have really acclaimed doctors,"['hospitals', 'madurai', 'hospital', 'doctors', 'acclaimed']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"this hospital is one of the oldest hospitals and they have the best doctors , technicians and paramedics who take amazing care of you","['hospitals', 'hospital', 'paramedics', 'doctors', 'oldest']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital did not overcharge us for the surgery like many other hospitals do and did not write any unnecessary medicine as well,"['hospital', 'surgery', 'hospitals', 'overcharge', 'medicine']","['Positive', 'Neutral', 'Positive', 'Negative', 'Positive']"
this hospital has modular operation theatres with state of the art facility and they take good care of you,"['hospital', 'facility', 'theatres', 'operation', 'care']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital has cutting edge equipment and a staff that highly trained and professional and know what they are doing,"['hospital', 'equipment', 'staff', 'trained', 'professional']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"the doctors at a Hana hospital , she no y Nagar , Madurai is simply too good and do the surgery with great skill and patience and the success rate at a Hana hospital she no y Nagar Madurai is really high","['madurai', 'hospital', 'nagar', 'surgery', 'hana']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hops it all has a huge number of beds so it should be able to a common date you in case of emergency just like they were able to accommodate my daughter,"['beds', 'date', 'emergency', 'hops', 'common']","['Positive', 'Neutral', 'Positive', 'Positive', 'Neutral']"
"the doctors at a Hana hospitals Gandhi Nagar , Madurai have amazing credentials and the rating of the hospital is also really good","['nagar', 'hospitals', 'madurai', 'hospital', 'doctors']","['Neutral', 'Neutral', 'Neutral', 'Positive', 'Positive']"
we do not have to run around for anything,['run'],['Positive']
"a Ravi ND eye hospitals ran an Nagar , Madurai has modern theatre rooms that cater to the needs of a wide variety of patients who suffer from different problems","['madurai', 'nagar', 'hospitals', 'rooms', 'theatre']","['Neutral', 'Neutral', 'Neutral', 'Positive', 'Positive']"
this hospital has amazing staff who will check on you at regular intervals and ensure that you are well taken care of,"['hospital', 'staff', 'ensure', 'care', 'intervals']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
Kant him in hi hospitals Madurai main Madurai is one of the best hops it als because the doctors who work here have an experience of at least a decade,"['madurai', 'hospitals', 'kant', 'doctors', 'als']","['Neutral', 'Neutral', 'Neutral', 'Positive', 'Positive']"
this hospital does a lot of charity work although it is a private hospital and have a rural health center where they treat many patients from under Praia vele GED backgrounds,"['hospital', 'charity', 'praia', 'patients', 'ged']","['Neutral', 'Positive', 'Neutral', 'Neutral', 'Neutral']"
this hospital provides a cashless service option if the health insurance providers that you have choose and are on their list and they did take really good care of my daughter who was suffering from dengue,"['hospital', 'dengue', 'cashless', 'insurance', 'providers']","['Positive', 'Neutral', 'Neutral', 'Positive', 'Positive']"
this hospital hires really talented doctors with over years of experience so you know that you are in safe hands,"['hospital', 'doctors', 'experience', 'safe', 'hires']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"there are a lot of amenities and facilities that Prag at I maternity and surgical clinic can rag hat Gora oh power gives its patients , which are specialist units ICUs diagnostic rooms , surgery rooms and treatment rooms so no matter what you are suffering from you will get a solution here","['gora', 'maternity', 'clinic', 'facilities', 'surgery']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital has a staff that is simply too good and they take care of you like no other,"['hospital', 'staff', 'care', 'like', 'simply']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hops it all has some really experienced and well qualified doctors so you can trust them with your life because their success rate for surgery is really high,"['surgery', 'doctors', 'trust', 'experienced', 'success']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
sangam eye hospital transport Nagar Gora oh power is one I of the most well known hospitals and they have really acclaimed doctors,"['hospitals', 'hospital', 'gora', 'nagar', 'doctors']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Positive']"
"Pana CIA multi facility , hospital bill and put Gora oh power is really amazing","['gora', 'cia', 'pana', 'hospital', 'facility']","['Positive', 'Neutral', 'Neutral', 'Neutral', 'Neutral']"
this hospital has highly qualified doctors and the operating theatres are really great and fully equipped,"['hospital', 'doctors', 'theatres', 'operating', 'qualified']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
Beige m hospital via swan auto para m Madurai offers treatment at affordable prices and the medical care of this place is really excellent,"['hospital', 'madurai', 'affordable', 'medical', 'treatment']","['Neutral', 'Neutral', 'Neutral', 'Positive', 'Neutral']"
this hospital offers adult and newborn intensive care units operation theatres and their services are just the best as are their staff and doctors,"['hospital', 'theatres', 'services', 'newborn', 'operation']","['Positive', 'Neutral', 'Positive', 'Neutral', 'Neutral']"
this hospital offers adult and newborn intensive care units operation theatres and their services are just the best as are their staff and doctors,"['hospital', 'theatres', 'services', 'newborn', 'operation']","['Positive', 'Neutral', 'Positive', 'Neutral', 'Neutral']"
pan Martin clinic Indira Nagar Gora oh power is one I of the most well known hospitals and they have really acclaimed doctors,"['hospitals', 'clinic', 'gora', 'nagar', 'doctors']","['Positive', 'Neutral', 'Positive', 'Neutral', 'Positive']"
the pride hospital Azad Nagar Gora kh bar has a huge number of beds so it should be able to a common date you in case of emergency just like they were able to accommodate my daughter,"['hospital', 'nagar', 'beds', 'gora', 'date']","['Positive', 'Positive', 'Positive', 'Neutral', 'Neutral']"
very happy with the experience that I had here,"['experience', 'happy']","['Positive', 'Positive']"
this hospital is fully supported with the best technology amenities and facilities so you do not have to worry at all,"['hospital', 'facilities', 'amenities', 'worry', 'technology']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital offers adult and newborn intensive care units operation theatres and their services are just the best as are their staff and doctors,"['hospital', 'theatres', 'services', 'newborn', 'operation']","['Positive', 'Neutral', 'Positive', 'Neutral', 'Neutral']"
"the operations team at this hospital is great and they did my surgery so well , I feel fine now and they also gave me amazing tips to take care of my health given my condition","['hospital', 'surgery', 'operations', 'tips', 'care']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
Prag YA hospital is to hat a Gora kh pair provides a cashless service option if the health insurance providers that you have choose and are on their list and they did take really good care of my daughter who was suffering from dengue,"['dengue', 'hospital', 'gora', 'cashless', 'insurance']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']"
everyone from the doctors to the staff are very concerned and are invested in every patient,"['doctors', 'patient', 'concerned', 'staff', 'invested']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the intensive care unit at Chandra by hospital some sundae ram Madurai has a state of the art intensive care unit for adults and kids and my child was well taken care off and she is fully fine now,"['hospital', 'madurai', 'chandra', 'intensive', 'sundae']","['Neutral', 'Positive', 'Neutral', 'Positive', 'Neutral']"
Narayan hospital trauma and multi specialty center phase Gora kh bar provides super specialty services so no matter what you are suffering since they have got you covered,"['hospital', 'gora', 'specialty', 'trauma', 'narayan']","['Neutral', 'Positive', 'Positive', 'Neutral', 'Neutral']"
this hops it all is a pioneer of innovation and they use the newest and innovative technologies to give their patients the best results,"['patients', 'innovation', 'innovative', 'technologies', 'results']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
it is a good place to take treatment from,"['treatment', 'place', 'good']","['Neutral', 'Positive', 'Positive']"
the doctors in this hops it all are very qualified and can perform different kind of surgeries so that is great,"['surgeries', 'doctors', 'qualified', 'perform', 'hops']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
ashwin specialty hospital ran a major measure ensures that you get the highest quality of care and it has top notch facilities and amenities,"['hospital', 'ashwin', 'specialty', 'amenities', 'facilities']","['Neutral', 'Positive', 'Neutral', 'Positive', 'Positive']"
very happy with the work,"['happy', 'work']","['Positive', 'Positive']"
the doctors in this hops it all are very qualified and can perform different kind of surgeries so that is great,"['surgeries', 'doctors', 'qualified', 'perform', 'hops']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
a vs . s hospitals kuru VI k Karan sale Madurai has world class facilities and the payment process is also very smooth here because they have partnered with many insurance companies to ensure a smooth process for you,"['madurai', 'hospitals', 'facilities', 'payment', 'insurance']","['Neutral', 'Neutral', 'Positive', 'Neutral', 'Neutral']"
this hospital has a hour emergency and critical care that is supported by a fully equipped pathology lab emergency and critical care radiology and pharmacy,"['hospital', 'radiology', 'pathology', 'emergency', 'pharmacy']","['Positive', 'Neutral', 'Positive', 'Neutral', 'Positive']"
this hospital is backed by cutting edge medical technology and services and it is one of the best places to do surgery at,"['hospital', 'surgery', 'medical', 'services', 'technology']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"I underwent a very complicated surgery at this hospital , but I am very thankful to the team of doctors because they worked really hard to ensure that our surgery will be done efficiently","['surgery', 'hospital', 'thankful', 'doctors', 'underwent']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
all the doctors at this hospital have good years of experience so you can definitely trust them without fear,"['hospital', 'trust', 'doctors', 'experience', 'definitely']","['Neutral', 'Positive', 'Positive', 'Positive', 'Positive']"
shiva y malt I s passes list hospital Azad Nagar Gora kh pair has doctors who are committed to taking care of the health real ted problems of the patients and they go way beyond their means to give you better services,"['gora', 'hospital', 'patients', 'nagar', 'doctors']","['Positive', 'Neutral', 'Positive', 'Neutral', 'Positive']"
"Or it hick a hospital Munich all a I Madurai has really professional doctors and immediately after the operation , they told us what we have to do to take care of our daughter and my daughter said that she did not feel any pain after the surgery","['surgery', 'hospital', 'madurai', 'operation', 'pain']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the doctors at Kee earth I hospitals upon men I Madurai have amazing credentials and the rating of the hospital is also really good,"['hospitals', 'hospital', 'madurai', 'doctors', 'credentials']","['Neutral', 'Positive', 'Positive', 'Positive', 'Positive']"
the room service was also amazing,"['room', 'service', 'amazing']","['Positive', 'Positive', 'Positive']"
but these doctors were able to do that and recommend surgery and my mother feels amazing now,"['surgery', 'doctors', 'mother', 'amazing', 'feels']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the critical care units are fully equipped as well,"['critical', 'units', 'care', 'equipped', 'fully']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital provides super specialty services so no matter what you are suffering since they have got you covered,"['hospital', 'specialty', 'services', 'suffering', 'super']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
savitri hospital bash rat pours Gora oh pure is really reputed and all the medical facilities are available within one roof so I like this place quite a lot,"['hospital', 'gora', 'facilities', 'medical', 'savitri']","['Neutral', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital has cutting edge equipment and a staff that highly trained and professional and know what they are doing,"['hospital', 'equipment', 'staff', 'trained', 'professional']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
it just felt that I woke up from sleep,"['woke', 'sleep', 'felt', 'just']","['Negative', 'Neutral', 'Negative', 'Neutral']"
this hospital has modern theatre rooms that cater to the needs of a wide variety of patients who suffer from different problems,"['hospital', 'rooms', 'theatre', 'patients', 'problems']","['Positive', 'Positive', 'Positive', 'Positive', 'Neutral']"
very happy with their se vice,"['vice', 'se', 'happy']","['Positive', 'Positive', 'Positive']"
combined emergency maternity and intensive child care center Alwar para m Madurai provides for hour security and that is really good because I had to stay in the hospital for a night and since I am living alone in the city I had no one who could stay with me and for better recovery I needed to sleep but they assured me that they have good security which consists of a team of females as well and I do not need to worry,"['madurai', 'security', 'maternity', 'emergency', 'hospital']","['Positive', 'Positive', 'Neutral', 'Neutral', 'Neutral']"
this hospital does a lot of charity work although it is a private hospital and have a rural health center where they treat many patients from under Praia vele GED backgrounds,"['hospital', 'charity', 'praia', 'patients', 'ged']","['Neutral', 'Positive', 'Neutral', 'Neutral', 'Neutral']"
"Jeb is hospital pet Hani Apu ram Madurai is one of the oldest hospitals and they have the best doctors , technicians and paramedics who take amazing care of you","['hospitals', 'hospital', 'madurai', 'jeb', 'doctors']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
very happy with the work,"['happy', 'work']","['Positive', 'Positive']"
very happy with the experience that I had here,"['experience', 'happy']","['Positive', 'Positive']"
"s was thick hospital , Mo had DI pour Gora kh pair has an in house the rid party assistance desk that assists you with the process of your media claim really well","['hospital', 'media', 'gora', 'claim', 'mo']","['Negative', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital has doctors who do the surgery using latest technologies and ensure that you will not have any pain,"['surgery', 'hospital', 'doctors', 'pain', 'technologies']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"the doctors in a Hana hospital , she no y Nagar , Madurai are very qualified and can perform different kind of surgeries so that is great","['surgeries', 'madurai', 'nagar', 'hospital', 'doctors']","['Positive', 'Positive', 'Neutral', 'Positive', 'Positive']"
nursing home bill and put Gora kh pair has highly advanced operation theatres so you will not feel any pain after the surgery and it will not leave any major scars on your body,"['surgery', 'gora', 'operation', 'scars', 'pain']","['Neutral', 'Neutral', 'Positive', 'Neutral', 'Neutral']"
this hospital has world class facilities and the payment process is also very smooth here because they have partnered with many insurance companies to ensure a smooth process for you,"['hospital', 'insurance', 'payment', 'facilities', 'process']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
Nave che tan clinic Bashar at our Gora kh pair has all the emergency equipment that is needed in the ICU and they analyze the reports really well and give a proper diagnosis,"['diagnosis', 'gora', 'icu', 'clinic', 'emergency']","['Positive', 'Neutral', 'Positive', 'Neutral', 'Positive']"
Jain hospital and lab per year Madurai has a very nice management and they will organize every r thing really well for you,"['madurai', 'hospital', 'management', 'jain', 'organize']","['Positive', 'Neutral', 'Positive', 'Neutral', 'Positive']"
all the doctors at this hospital have good years of experience so you can definitely trust them without fear,"['hospital', 'trust', 'doctors', 'experience', 'definitely']","['Neutral', 'Positive', 'Positive', 'Positive', 'Positive']"
Dr the Angara j hospital Mell or Madurai has a doctor who engages you in a conversation and tries to take your mind off the pain and he has trained the staff to do so as well,"['doctor', 'dr', 'hospital', 'madurai', 'pain']","['Neutral', 'Positive', 'Neutral', 'Neutral', 'Neutral']"
this hospital is fully equipped with the best technology and the atmosphere at this hospital is really good,"['hospital', 'atmosphere', 'technology', 'best', 'fully']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital has some great doctors who are not only well qualified but also are really invested in the health of their patients,"['hospital', 'patients', 'doctors', 'health', 'qualified']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the doctors are very good as well,"['doctors', 'good']","['Positive', 'Positive']"
the coordination of the staff at car hit hospital Daud pour Gora kh part is really good and they inform each other about what medicines they have to give the patient and take really good care of the patient,"['gora', 'hospital', 'medicines', 'patient', 'staff']","['Positive', 'Neutral', 'Neutral', 'Positive', 'Positive']"
Aries to a specialty hospital upon men I Madurai has all the services that are needed for a good surgery and they have an hour ambulance and pharmacy service which is great,"['hospital', 'madurai', 'ambulance', 'specialty', 'pharmacy']","['Positive', 'Positive', 'Positive', 'Neutral', 'Positive']"
Tri Murti hospital park red gore kh pair has doctors who are committed to taking care of the health real ted problems of the patients and they go way beyond their means to give you better services,"['patients', 'hospital', 'doctors', 'health', 'services']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
Tri Murti hospital park red gore kh pair has a very well trained team who takes care of all your needs and does a great job at supporting your preoperative and postoperative surgery needs,"['hospital', 'preoperative', 'postoperative', 'surgery', 'red']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Positive']"
net a Jew Subhash Chandra Bose district hospital Miya n bass a Gora kh bar has amazing staff who will check on you at regular intervals and ensure that you are well taken care of,"['hospital', 'gora', 'staff', 'jew', 'chandra']","['Neutral', 'Neutral', 'Positive', 'Neutral', 'Neutral']"
this hospital has an in house the rid party assistance desk that assists you with the process of your media claim really well,"['hospital', 'media', 'party', 'assistance', 'desk']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital has many Ron owed doctors who visit the clinic and they have world class facilities at the clinic,"['clinic', 'hospital', 'doctors', 'facilities', 'visit']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital has all the services that are needed for a good surgery and they have an hours ambulance and pharmacy service which is great,"['hospital', 'ambulance', 'surgery', 'services', 'pharmacy']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital has a wide range of cabins and wards for the convenience of patients and they use the latest technology which is amazing,"['hospital', 'cabins', 'patients', 'wards', 'convenience']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
they ensure that they do everything to give the best of services to the patient,"['services', 'patient', 'ensure', 'best']","['Positive', 'Positive', 'Positive', 'Positive']"
Anna I hospital upon men I Madurai has some great doctors who are not only well qualified but also are really invested in the health of their patients,"['madurai', 'doctors', 'patients', 'hospital', 'anna']","['Positive', 'Positive', 'Positive', 'Neutral', 'Positive']"
pulse hospital kale puree Gora kh pair has cutting edge equipment and a staff that highly trained and professional and know what they are doing,"['equipment', 'staff', 'hospital', 'trained', 'gora']","['Positive', 'Positive', 'Neutral', 'Positive', 'Positive']"
this hospital has world class facilities and the payment process is also very smooth here because they have partnered with many insurance companies to ensure a smooth process for you,"['hospital', 'insurance', 'payment', 'facilities', 'process']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
a c hospital Madurai has a huge staff of about around consultants and specialized nurses so you will definitely get all the care that you need,"['madurai', 'nurses', 'consultants', 'hospital', 'staff']","['Positive', 'Positive', 'Positive', 'Neutral', 'Positive']"
"Dr agar was eye hospital mail or road , Madurai gives you excellent diagnosis and the doctors have good medical expertise as well","['madurai', 'diagnosis', 'hospital', 'medical', 'doctors']","['Positive', 'Positive', 'Neutral', 'Positive', 'Positive']"
this hops its oil is known for its emergency medical services and they also have a cardiac and trauma ambulance,"['ambulance', 'emergency', 'medical', 'cardiac', 'oil']","['Positive', 'Positive', 'Positive', 'Neutral', 'Positive']"
they also have the best doctors who can make use of the technology,"['doctors', 'technology', 'best', 'use', 'make']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
Ran a hospital char gawa Gora kWh our offers treatment at very low cost and they do the surgery in a very good way,"['gora', 'surgery', 'treatment', 'hospital', 'gawa']","['Neutral', 'Positive', 'Neutral', 'Neutral', 'Neutral']"
we went to hams a hospital v Adam Polk ki Madurai after consulting a doctor from another hospital and this doctor gave us a safe and accurate diagnosis and told us not to go for surgery,"['surgery', 'hospital', 'diagnosis', 'madurai', 'doctor']","['Negative', 'Neutral', 'Neutral', 'Neutral', 'Neutral']"
this hospital is a multi spacial it y hospital and has doctors that have expertise in a wide range of health problems and will ensure that your health is restored,"['hospital', 'health', 'doctors', 'spacial', 'multi']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
we went to this hospital after consulting a doctor from another hospital and this doctor gave us a safe and accurate diagnosis and told us not to go for surgery,"['surgery', 'hospital', 'diagnosis', 'doctor', 'told']","['Negative', 'Neutral', 'Positive', 'Neutral', 'Positive']"
this hops it all has skilled medical doctors high end operation theatres that are filled with the latest equipment and the staff is also amazing,"['medical', 'doctors', 'theatres', 'equipment', 'staff']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"s was thick hospital , Mo had DI pour Gora oh poor hires really talented doctors with over years of experience so you know that you are in safe hands","['hospital', 'gora', 'doctors', 'mo', 'experience']","['Negative', 'Neutral', 'Positive', 'Positive', 'Positive']"
everyone from the doctors to the staff are very concerned and are invested in every patient,"['doctors', 'patient', 'concerned', 'staff', 'invested']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
it is great to get your treatment done for him,"['treatment', 'great']","['Positive', 'Positive']"
the infrastructure at age Pandia n hospital sale Madurai is simply a comparable by any other hospital and the charges for the room is also not that high,"['madurai', 'hospital', 'infrastructure', 'pandia', 'room']","['Neutral', 'Neutral', 'Positive', 'Neutral', 'Neutral']"
infant Jesus hospital s value Madurai is fully equipped with the best technology and the atmosphere at infant Jesus hospital s value Madurai is really good,"['madurai', 'hospital', 'infant', 'technology', 'value']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
Karp aga VI Naya a hospital sell or Madurai has modular operation theatres with state of the art facility and they take good care of you,"['hospital', 'facility', 'madurai', 'theatres', 'operation']","['Neutral', 'Positive', 'Neutral', 'Positive', 'Positive']"
Shan via hospital phase Gora kh bar has the best of doctors who are well educated and smart so I like the treatment at this place,"['gora', 'hospital', 'treatment', 'doctors', 'shan']","['Neutral', 'Neutral', 'Positive', 'Positive', 'Neutral']"
"I underwent a very complicated surgery at this hospital , but I am very thankful to the team of doctors because they worked really hard to ensure that our surgery will be done efficiently","['surgery', 'hospital', 'thankful', 'doctors', 'underwent']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
Rath a or clinic Khor Abba Gora kh pair has highly qualified doctors and the operating theatres are really great and fully equipped,"['gora', 'clinic', 'doctors', 'theatres', 'khor']","['Neutral', 'Neutral', 'Positive', 'Positive', 'Positive']"
they ensure that they do everything to give the best of services to the patient,"['services', 'patient', 'ensure', 'best']","['Positive', 'Positive', 'Positive', 'Positive']"
